"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Oakland University","2200 North Squirrel Road, Rochester Hills, Michigan 48309-4401","www.oakland.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","19309","15799","55%","8%","Fall 2012","$12,384","-","171571","00230700"
"Olivet College","320 South Main Street, Olivet, Michigan 49076","https://www.olivetcollege.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Rural: Distant","Yes","1098","1055","48%","NA","Fall 2012","$21,979","-","171599","00230800"
"P&A Scholars Beauty School","12001 Grandriver Avenue, Detroit, Michigan 48204","www.pandascholars.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","278","278","70%","NA","2015-16","$11,072","Cosmetology/Cosmetologist, General","391005","04014300"
"Paul Mitchell The School-Farmington Hills","27590 Orchard Lake Road, Farmington Hills, Michigan 48334-1300","paulmitchell.edu/farmingtonhills","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","125","125","100%","NA","2015-16","$18,877","Cosmetology/Cosmetologist, General","484093","04230200"
"Paul Mitchell the School-Grand Rapids","2855 29th Street SE Suite B, Kentwood, Michigan 49512-1781","paulmitchell.edu/grandrapids","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","96","96","73%","NA","2015-16","$12,088","Cosmetology/Cosmetologist, General","172680","04230500"
"Paul Mitchell the School-Great Lakes","2950 Lapeer Road, Port Huron, Michigan 48060","paulmitchell.edu/porthuron","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Small","No","80","80","71%","NA","2015-16","$13,522","Cosmetology/Cosmetologist, General","446288","03907300"
"Paul Mitchell the School-Lansing","125 North Clippert Street, Lansing, Michigan 48912-4686","paulmitchell.edu/lansing/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","44","44","100%","NA","2015-16","$20,777","Cosmetology/Cosmetologist, General","484118","04230400"
"Paul Mitchell the School-Michigan","40688 Van Dyke Ave, Sterling Heights, Michigan 48313","paulmitchell.edu/sterlingheights","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","183","183","71%","NA","2015-16","$13,362","Cosmetology/Cosmetologist, General","449977","02531806"
"Port Huron Cosmetology College","5620 Dixie Hwy, Waterford, Michigan 48329","www.michigancollegeofbeauty.com/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","47","47","26%","NA","2015-16","$10,529","Cosmetology/Cosmetologist, General","171775","00894600"
"Princess Beauty School","25861 Ford Road, Suite A, Dearborn Heights, Michigan 48127-2999","www.princessbeautyschool.com","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","20","20","89%","NA","2015-16","$12,550","Cosmetology/Cosmetologist, General","486327","04231800"
"Protege Academy","4960 Northwind Dr., East Lansing, Michigan 48823-8660","www.protegeacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","41","41","50%","NA","2015-16","$11,090","Cosmetology/Cosmetologist, General","461944","04184700"
"Protege Academy","4884 E Pickard St, Mt. Pleasant, Michigan 48858-2058","www.protegeacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Distant","No","29","29","77%","NA","2015-16","$9,394","Cosmetology/Cosmetologist, General","487083","04184701"
"Rochester College","800 West Avon Road, Rochester Hills, Michigan 48307","www.rc.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","1098","1065","37%","NA","Fall 2012","$16,281","-","170967","00228800"
"Ross Medical Education Center - Kalamazoo","5177 West Main Street, Suite A, Kalamazoo, Michigan 49009-1003","www.rosseducation.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Midsize","No","72","72","NA","NA","2015-16","$19,591","Medical/Clinical Assistant","490814","02099708"
"Ross Medical Education Center-Ann Arbor","4741 Washtenaw Ave, Ann Arbor, Michigan 48108-1411","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","73","73","70%","NA","2015-16","$18,256","Medical/Clinical Assistant","261685","02339701"
"Ross Medical Education Center-Brighton","8110 Murphy Drive, Brighton, Michigan 48116","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Midsize","No","60","60","85%","NA","2015-16","$16,968","Medical/Clinical Assistant","261676","02339700"
"Ross Medical Education Center-Canton","44958 Ford Rd, Canton, Michigan 48187","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","86","86","83%","NA","2015-16","$17,592","Medical/Clinical Assistant","460127","02099705"
"Ross Medical Education Center-Davison","815 S State St, Davison, Michigan 48423","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","98","98","86%","NA","2015-16","$16,426","Medical/Clinical Assistant","460093","02339703"
"Ross Medical Education Center-Flint","G3630 Miller Road, Suite D, Flint, Michigan 48507","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","128","128","79%","NA","2015-16","$17,520","Medical/Clinical Assistant","172015","02099700"
"Ross Medical Education Center-Grand Rapids North","1624 Woodworth NE, Grand Rapids, Michigan 49525-2473","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","96","96","NA","NA","2015-16","$18,461","Medical/Clinical Assistant","490841","02533606"
"Ross Medical Education Center-Kentwood","4528 Breton Road, SE, Kentwood, Michigan 49508","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","169","169","78%","NA","2015-16","$18,805","Medical/Clinical Assistant","365833","02533601"
"Ross Medical Education Center-Lansing","4106 W Saginaw Hwy, Lansing, Michigan 48917","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","105","105","80%","NA","2015-16","$17,504","Medical/Clinical Assistant","171988","02533600"
"Ross Medical Education Center-Madison Heights","29429 John R Road, Madison Heights, Michigan 48071","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","173","173","77%","NA","2015-16","$16,944","Medical/Clinical Assistant","171997","02180100"
"Ross Medical Education Center-Midland","2600 N. Saginaw, Midland, Michigan 48640-2690","www.rosseducation.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","53","53","NA","NA","2015-16","$18,260","Medical/Clinical Assistant","488970","02339707"
"Ross Medical Education Center-New Baltimore","51133 Birch Street, Ste 100, New Baltimore, Michigan 48047","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","93","93","88%","NA","2015-16","$17,345","Medical/Clinical Assistant","452072","02180107"
"Ross Medical Education Center-Port Huron","2887 Krafft Road, Suite 700, Port Huron, Michigan 48060","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Small","No","65","65","86%","NA","2015-16","$17,550","Medical/Clinical Assistant","363013","02099702"
"Ross Medical Education Center-Portage","6235 S Westnedge, Portage, Michigan 49002","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Small","No","103","103","70%","NA","2015-16","$19,130","Medical/Clinical Assistant","456515","02099704"
"Ross Medical Education Center-Roosevelt Park","950 Norton Avenue, Suite D, Roosevelt Park, Michigan 49441","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Midsize","No","155","155","83%","NA","2015-16","$18,614","Medical/Clinical Assistant","365824","02099703"
"Ross Medical Education Center-Saginaw","4300 Fashion Square Blvd., 2nd Floor, Suite 202, Saginaw, Michigan 48603","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Midsize","No","92","92","83%","NA","2015-16","$18,043","Medical/Clinical Assistant","247409","02099701"
"Ross Medical Education Center-Taylor","22311 Eureka Road, Taylor, Michigan 48180","www.rosseducation.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Small","No","77","77","74%","NA","2015-16","$17,290","Medical/Clinical Assistant","367158","02180105"
"Sacred Heart Major Seminary","2701 Chicago Blvd, Detroit, Michigan 48206-1799","www.shms.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","Yes","480","293","100%","NA","Fall 2012","$26,142","-","172033","00231300"
"Saginaw Chippewa Tribal College","2274 Enterprise Dr, Mount Pleasant, Michigan 48858","www.sagchip.edu","2-year, Public","Associate's degree","Town: Distant","No","140","140","33%","NA","Fall 2015","$6,433","-","441070","03772300"
"Saginaw Valley State University","7400 Bay Rd, University Center, Michigan 48710","www.svsu.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Suburb: Midsize","Yes","8515","7719","43%","NA","Fall 2012","$14,669","-","172051","00231400"
"School of Missionary Aviation Technology","84 E. Sprague Rd., Ionia, Michigan 48846","www.smat.edu","2-year, Private not-for-profit","Two but less than 4 years certificate","Rural: Fringe","No","20","20","90%","NA","Fall 2015","$13,384","Airframe Mechanics and Aircraft Maintenance Technology/Technician","480727","04207000"
"Schoolcraft College","18600 Haggerty Road, Livonia, Michigan 48152-2696","www.schoolcraft.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","9895","9895","14%","30%","Fall 2012","$7,940","-","172200","00231500"
"Sharps Academy of Hair Styling","8166 N Holly Rd, Grand Blanc, Michigan 48439","www.sharpsacademyofhairstyling.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","19","19","100%","NA","2015-16","NA","Cosmetology/Cosmetologist, General","391759","03090000"
"Siena Heights University","1247 E. Siena Heights Dr., Adrian, Michigan 49221","www.sienaheights.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","2433","2216","43%","42%","Fall 2012","$19,526","-","172264","00231600"
"South University-Novi","41555 W 12 Mile Rd, Novi, Michigan 48377","www.southuniversity.edu/novi#location=Novi,%20MI","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","No","60","46","33%","NA","Fall 2012","NA","-","468024","01303914"
"Southwestern Michigan College","58900 Cherry Grove Rd, Dowagiac, Michigan 49047-9793","www.swmich.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","Yes","2130","2130","28%","21%","Fall 2015","$9,078","-","172307","00231700"
"Specs Howard School of Media Arts","19900 W Nine Mile Rd, Southfield, Michigan 48075-3953","www.specshoward.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Small","No","526","526","NA","NA","2015-16","NA","Radio and Television","172325","02237800"
"Spring Arbor University","106 E. Main St, Spring Arbor, Michigan 49283-9799","www.arbor.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Small","Yes","3436","1807","57%","NA","Fall 2012","$20,000","-","172334","00231800"
"St Clair County Community College","323 Erie Street, Port Huron, Michigan 48061-5015","www.sc4.edu","2-year, Public","One but less than two years certificate|Associate's degree","Suburb: Small","Yes","3541","3541","25%","24%","Fall 2015","$4,110","-","172291","00231000"
"Taylortown School of Beauty Inc","23125 Ecorse Rd, Taylor, Michigan 48180-1866","www.dorsey.edu/dsb-taylor-info/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","166","166","28%","NA","2015-16","$18,538","Cosmetology/Cosmetologist, General","261719","02209200"
"Twin City Beauty College","2600 Lincoln  Avenue, Saint Joseph, Michigan 49085","WWW.TCBEAUTYCOLLEGE.COM","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Small","No","272","272","52%","2%","2015-16","$20,258","Cosmetology/Cosmetologist, General","172495","03075200"
"U.S. Truck Driver Training School","6500 15 Mile Road, Sterling Heights, Michigan 48312-4518","https://ustdts.edu/","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","173","173","NA","NA","2015-16","$10,396","Truck and Bus Driver/Commercial Vehicle Operator and Instructor","488837","04255100"
"University of Detroit Mercy","4001 W McNichols Rd, Detroit, Michigan 48221-3038","www.udmercy.edu","4-year, Private not-for-profit","Less than one year certificate|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","5111","2880","65%","NA","Fall 2012","$22,016","-","169716","00232300"
"University of Michigan-Ann Arbor","503 Thompson Street, Ann Arbor, Michigan 48109","www.umich.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","46716","30318","92%","NA","Fall 2012","$16,856","-","170976","00232500"
"University of Michigan-Dearborn","4901 Evergreen Rd, Dearborn, Michigan 48128-1491","https://umdearborn.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Small","No","9460","7177","56%","NA","Fall 2012","$10,533","-","171137","00232600"
"University of Michigan-Flint","303 E. Kearsley Street, Flint, Michigan 48502-1950","www.umflint.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","7532","6097","46%","NA","Fall 2012","$12,519","-","171146","00232700"
"University of Phoenix-Michigan","26261 Evergreen Rd, Southfield, Michigan 48076","www.phoenix.edu","4-year, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","City: Small","No","52","47","8%","NA","Fall 2012","NA","-","484695","32098879"
"Walsh College","3838 Livernois, Troy, Michigan 48083-5066","www.walshcollege.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Small","No","2006","802","NA","NA","Fall 2012","NA","-","172608","00407100"
"Washtenaw Community College","4800 E Huron River Dr, Ann Arbor, Michigan 48105-4800","www.wccnet.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","12264","12264","17%","25%","Fall 2015","$2,038","-","172617","00232800"
"Wayne County Community College District","801 W. Fort Street, Detroit, Michigan 48226","www.wcccd.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","14957","14957","11%","24%","Fall 2015","$4,939","-","172635","00923000"
"Wayne State University","656 West Kirby Street, Detroit, Michigan 48202","www.wayne.edu","4-year, Public","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","27025","17574","47%","33%","Fall 2012","$14,366","-","172644","00232900"
"West Michigan College of Barbering and Beauty","3200 South Westnedge Ave, Kalamazoo, Michigan 49008","westmichigancollegeofbarberingandbeauty.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","43","43","60%","NA","Fall 2015","$7,273","Cosmetology/Cosmetologist, General","152044","02491000"
"West Shore Community College","3000 N Stiles Rd, Scottville, Michigan 49454-0277","www.westshore.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Rural: Distant","No","1042","1042","33%","22%","Fall 2015","$3,782","-","172671","00795000"
"Western Michigan University","1903 W Michigan Ave, Kalamazoo, Michigan 49008-5200","https://wmich.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","22562","17760","53%","30%","Fall 2012","$15,863","-","172699","00233000"
"Western Michigan University Homer Stryker M.D. School of Medicine","300 Portage Street, Kalamazoo, Michigan 49007","med.wmich.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Small","No","307","","NA","NA","Fall 2012","NA","-","490373","04262900"
"Western Michigan University-Thomas M. Cooley Law School","300 S Capitol Ave, Lansing, Michigan 48901","www.cooley.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Midsize","No","1325","","NA","NA","Fall 2012","NA","-","172477","01262700"
"Western Theological Seminary","101 E 13th St, Holland, Michigan 49423-3622","www.westernsem.edu","4-year, Private not-for-profit","Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Small","Yes","299","","NA","NA","Fall 2012","NA","-","172705","00233100"
"Wright Beauty Academy","492 Capital Ave SW, Battle Creek, Michigan 49015","wba.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","51","51","70%","10%","2015-16","$9,368","Cosmetology/Cosmetologist, General","172802","01229100"
"Yeshiva Gedolah of Greater Detroit","24600 Greenfield Rd, Oak Park, Michigan 48237","https://www.yeshivagedolahgreaterdetroit.com","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","65","58","16%","63%","Fall 2012","$9,090","-","247773","02363800"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2017-2018 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institutions largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
